ID,Template,Decision
CJ260511-13-R42,Folding clothes on the bed,Approve
CJ260512-20-R182,Test tube sorting,Approve
CJ260512-20-R183,Test tube sorting,Approve
CJ260512-20-R184,Test tube sorting,Approve
CJ260512-20-R186,Test tube sorting,Approve
CJ260512-20-R188,Test tube sorting,Approve
CJ260512-20-R189,Test tube sorting,Approve
CJ260512-20-R190,Test tube sorting,Approve
CJ260512-20-R194,Test tube sorting,Approve
CJ260512-20-R191,Test tube sorting,Approve
CJ260512-20-R196,Test tube sorting,Imperfect
CJ260512-20-R198,Test tube sorting,Approve
CJ260512-20-R199,Test tube sorting,Imperfect
CJ260512-20-R200,Test tube sorting,Approve
CJ260512-21-R173,Test tube sorting,Imperfect
CJ260512-21-R175,Test tube sorting,Imperfect
CJ260512-21-R174,Test tube sorting,Imperfect
CJ260512-21-R176,Test tube sorting,Imperfect
CJ260512-21-R177,Test tube sorting,Imperfect
CJ260512-21-R179,Test tube sorting,Imperfect
CJ260512-21-R180,Test tube sorting,Imperfect
CJ260512-21-R181,Test tube sorting,Approve
CJ260512-21-R184,Test tube sorting,Imperfect
CJ260512-21-R185,Test tube sorting,Imperfect
CJ260512-21-R187,Test tube sorting,Imperfect
CJ260512-21-R188,Test tube sorting,Imperfect
CJ260512-21-R190,Test tube sorting,Imperfect
CJ260512-21-R191,Test tube sorting,Imperfect
CJ260512-21-R193,Test tube sorting,Imperfect
CJ260512-21-R195,Test tube sorting,Imperfect
CJ260512-21-R196,Test tube sorting,Approve
CJ260512-22-R188,Test tube sorting,Approve
CJ260512-21-R197,Test tube sorting,Imperfect
CJ260512-22-R189,Test tube sorting,Approve
CJ260512-22-R191,Test tube sorting,Approve
CJ260512-22-R190,Test tube sorting,Approve
CJ260512-22-R192,Test tube sorting,Approve
CJ260512-22-R193,Test tube sorting,Approve
CJ260512-22-R195,Test tube sorting,Approve
CJ260512-22-R194,Test tube sorting,Approve
CJ260512-22-R196,Test tube sorting,Approve
CJ260512-22-R197,Test tube sorting,Approve
CJ260512-22-R198,Test tube sorting,Imperfect
CJ260512-22-R199,Test tube sorting,Approve
CJ260512-22-R200,Test tube sorting,Approve
CJ260512-26-R170,Folding clothes on the bed,Approve
CJ260512-26-R175,Folding clothes on the bed,Approve
CJ260512-26-R179,Folding clothes on the bed,Imperfect
CJ260512-26-R185,Folding clothes on the bed,Approve
CJ260512-26-R186,Folding clothes on the bed,Approve
CJ260512-26-R187,Folding clothes on the bed,Imperfect
CJ260512-26-R188,Folding clothes on the bed,Imperfect
CJ260512-26-R189,Folding clothes on the bed,Imperfect
